score,date,album,artist,reviewer,url
8.1,May 4 2018,Rebound,Eleanor Friedberger,Jonah Bromwich,https://pitchfork.com/reviews/albums/eleanor-friedberger-rebound/
7.9,May 7 2018,Rejuvenate,Paul White,Jonah Bromwich,https://pitchfork.com/reviews/albums/paul-white-rejuvenate/
7.5,May 7 2018,Starting Today,Joe Armon-Jones,Phillip Mlynar,https://pitchfork.com/reviews/albums/joe-armon-jones-starting-today/
8.0,May 7 2018,Music for Installations,Brian Eno,Jesse Jarnow,https://pitchfork.com/reviews/albums/brian-eno-music-for-installations/
7.4,May 2 2018,Miro Tape,Duppy Gun,Thea Ballard,https://pitchfork.com/reviews/albums/duppy-gun-miro-tape/
6.8,May 5 2018,Lost Friends,Middle Kids,Stuart Berman,https://pitchfork.com/reviews/albums/middle-kids-lost-friends/
7.2,May 3 2018,Hollow Ground,Cut Worms ,Nina Corcoran,https://pitchfork.com/reviews/albums/cut-worms-hollow-ground/
6.9,May 5 2018,Blue Dream EP,Le1f,Cameron Cook,https://pitchfork.com/reviews/albums/le1f-blue-dream-ep/
4.6,May 3 2018,Poo Bear Presents: Bearthday Music,Poo Bear,Katherine St. Asaph,https://pitchfork.com/reviews/albums/poo-bear-poo-bear-presents-bearthday-music/
7.5,May 4 2018,Hello People,Chris Reimer,Stuart Berman,https://pitchfork.com/reviews/albums/chris-reimer-hello-people/
7.5,May 5 2018,The Good Is a Big God,Domenico Lancellotti,Marty Sartini Garner,https://pitchfork.com/reviews/albums/domenico-lancellotti-the-good-is-a-big-god/
8.0,May 4 2018,Anticlines,Lucrecia Dalt,Philip Sherburne,https://pitchfork.com/reviews/albums/lucrecia-dalt-anticlines/
5.6,May 3 2018,Beerbongs & Bentleys,Post Malone,Evan Rytlewski,https://pitchfork.com/reviews/albums/post-malone-beerbongs-and-bentleys/
8.1,May 1 2018,Only Love,The Armed,Brandon Stosuy,https://pitchfork.com/reviews/albums/the-armed-only-love/
7.5,May 2 2018,Sway,Tove Styrke,Margaret Farrell,https://pitchfork.com/reviews/albums/tove-styrke-sway/
9.3,May 6 2018,The Flowers of Romance,Public Image Ltd,Vivien Goldman,https://pitchfork.com/reviews/albums/public-image-ltd-the-flowers-of-romance/
6.8,May 3 2018,House With a Pool,Charge It to the Game,Mike Madden,https://pitchfork.com/reviews/albums/charge-it-to-the-game-house-with-a-pool/
7.7,May 1 2018,Dirty Computer,Janelle Monáe,Rahawa Haile,https://pitchfork.com/reviews/albums/janelle-monae-dirty-computer/
10,May 2 2018,Girly-Sound to Guyville: The 25th Anniversary Box Set,Liz Phair,Amanda Petrusich,https://pitchfork.com/reviews/albums/liz-phair-girly-sound-to-guyville-the-25th-anniversary-box-set/
9.2,April 29 2018,Perfect From Now On,Built to Spill,Steve Kandell,https://pitchfork.com/reviews/albums/built-to-spill-perfect-from-now-on/
8.2,May 2 2018,Nothing 2 Loose,"DJ Healer,Prime Minister of Doom",Drew Gaerig,https://pitchfork.com/reviews/albums/dj-healer-prime-minister-of-doom-dj-healer-nothing-2-loose-prime-minister-of-doom-mudshadow-propaganda/
6.6,May 1 2018,Facepaint EP,Buzzy Lee,Jay Balfour,https://pitchfork.com/reviews/albums/buzzy-lee-facepaint-ep/
7.1,April 28 2018,Bloodline,Steven Julien,Ben Cardew,https://pitchfork.com/reviews/albums/steven-julien-bloodline/
7.4,April 28 2018,Gate 13,"Del the Funky Homosapien,Amp Live ",Phillip Mlynar,https://pitchfork.com/reviews/albums/del-the-funky-homosapien-amp-live-gate-13/
10,April 28 2018,Trout Mask Replica,Captain Beefheart and His Magic Band,Marc Masters,https://pitchfork.com/reviews/albums/captain-beefheart-and-his-magic-band-trout-mask-replica/
7.5,April 30 2018,Question and Answer EP,Wata Igarashi,Andy Beta,https://pitchfork.com/reviews/albums/wata-igarashi-question-and-answer-ep/
7.0,April 30 2018,You’re Driving Me Crazy,"Van Morrison,Joey DeFrancesco",Stephen Thomas Erlewine,https://pitchfork.com/reviews/albums/van-morrison-joey-defrancesco-youre-driving-me-crazy/
7.6,April 30 2018,Elysia Crampton,Elysia Crampton,Sasha Geffen,https://pitchfork.com/reviews/albums/elysia-crampton-elysia-crampton/
7.8,April 30 2018,Grid of Points,Grouper,Meaghan Garvey,https://pitchfork.com/reviews/albums/grouper-grid-of-points/
4.8,April 25 2018,44/876,"Sting,Shaggy",Evan Rytlewski,https://pitchfork.com/reviews/albums/sting-shaggy-44876/
8.4,April 26 2018,The Sciences,Sleep,Grayson Haver Currin,https://pitchfork.com/reviews/albums/sleep-the-sciences/
7.0,May 1 2018,With Dim Light,Minami Deutsch,Patrick St. Michel,https://pitchfork.com/reviews/albums/minami-deutsch-with-dim-light/
7.7,April 27 2018,Forth Wanderers,Forth Wanderers,Kevin Lozano,https://pitchfork.com/reviews/albums/forth-wanderers-forth-wanderers/
7.1,April 27 2018,A Piece of Beyond,DJ Bone,Chal Ravens,https://pitchfork.com/reviews/albums/dj-bone-a-piece-of-beyond/
7.5,April 28 2018,Crop Circle,Nines,Ciaran Thapar,https://pitchfork.com/reviews/albums/nines-crop-circle/
5.7,April 25 2018,Complicit EP,Gang of Four,Brad Shoup,https://pitchfork.com/reviews/albums/gang-of-four-complicit-ep/
6.7,April 27 2018,Spaghetti Factory,PeeWee Longway,Torii MacAdams,https://pitchfork.com/reviews/albums/peewee-longway-spaghetti-factory/
7.9,April 26 2018,Everywhere at the End of Time - Stage 4,The Caretaker,Miles Bowe,https://pitchfork.com/reviews/albums/the-caretaker-everywhere-at-the-end-of-time-stage-4/
7.8,April 25 2018,Lavender,Half Waif,Sasha Geffen,https://pitchfork.com/reviews/albums/half-waif-lavender/
7.3,April 26 2018,Not for Sale,Smoke DZA,Sheldon Pearce,https://pitchfork.com/reviews/albums/smoke-dza-not-for-sale/
6.7,April 27 2018,Conquistador,Dylan Carlson,Grayson Haver Currin,https://pitchfork.com/reviews/albums/dylan-carlson-conquistador/
7.4,April 27 2018,Twerp Verse,Speedy Ortiz,Alfred Soto,https://pitchfork.com/reviews/albums/speedy-ortiz-twerp-verse/
7.7,April 26 2018,Sparrow,Ashley Monroe,Stephen M. Deusner,https://pitchfork.com/reviews/albums/ashley-monroe-sparrow/
5.9,April 25 2018,Primal Heart,Kimbra,Eve Barlow,https://pitchfork.com/reviews/albums/kimbra-primal-heart/
8.0,April 23 2018,Hippo Lite,DRINKS,Jenn Pelly,https://pitchfork.com/reviews/albums/drinks-hippo-lite/
6.4,April 24 2018,Sun Go Nova,Denmark Vessey,Stephen Kearse,https://pitchfork.com/reviews/albums/denmark-vessey-sun-go-nova/
4.9,April 23 2018,Eat the Elephant,A Perfect Circle,Zoe Camp,https://pitchfork.com/reviews/albums/a-perfect-circle-eat-the-elephant/
7.9,April 23 2018,"am i happy, singing_",Ricky Eat Acid,Madison Bloom,https://pitchfork.com/reviews/albums/ricky-eat-acid-am-i-happy-singing-/
8.7,April 22 2018,"I, Jonathan",Jonathan Richman,Marc Hogan,https://pitchfork.com/reviews/albums/jonathan-richman-i-jonathan/
6.0,April 21 2018,Boxer (Live in Brussels),The National,Ian Cohen,https://pitchfork.com/reviews/albums/the-national-boxer-live-in-brussels/
6.3,April 24 2018,KOD,J. Cole,Jonah Bromwich,https://pitchfork.com/reviews/albums/j-cole-kod/
4.6,April 21 2018,Inter-Fusion,Shuggie Otis,Robert Ham,https://pitchfork.com/reviews/albums/shuggie-otis-inter-fusion/
7.3,April 24 2018,The Scars of Man on the Once Nameless Wilderness (I and II),Panopticon,Zoe Camp,https://pitchfork.com/reviews/albums/panopticon-the-scars-of-man-on-the-once-nameless-wilderness-i-and-ii/
6.8,April 23 2018,Hahaha,Yazan,Nina Corcoran,https://pitchfork.com/reviews/albums/yazan-hahaha/
4.8,April 21 2018,Bless Yo Trap,"Smokepurpp,Murda Beatz",Sheldon Pearce,https://pitchfork.com/reviews/albums/smokepurpp-murda-beatz-bless-yo-trap/
6.7,April 24 2018,Stargate Music,Ras G & the Afrikan Space Program,Andy Beta,https://pitchfork.com/reviews/albums/ras-g-and-the-afrikan-space-program-stargate-music/
7.3,April 20 2018,BC35: The 35 Year Anniversary of BC Studio,,Dale W Eisinger,https://pitchfork.com/reviews/albums/various-artists-bc35-the-35-year-anniversary-of-bc-studio/
7.8,April 19 2018,Selectors 005,Lena Willikens,Philip Sherburne,https://pitchfork.com/reviews/albums/lena-willikens-selectors-005/
6.7,April 19 2018,The ArtScience Remixes EP,"Robert Glasper,Kaytranada",Dean Van Nguyen,https://pitchfork.com/reviews/albums/robert-glasper-kaytranada-the-artscience-remixes-ep/
7.3,April 19 2018,Gada,Littlebabyangel,Max Mertens,https://pitchfork.com/reviews/albums/littlebabyangel-gada/
8.4,April 20 2018,Remains,International Harvester,Marc Masters,https://pitchfork.com/reviews/albums/international-harvester-remains/
6.8,April 19 2018,Joyride,Tinashe,Eric Torres,https://pitchfork.com/reviews/albums/tinashe-joyride/
5.6,April 20 2018,ruiner,"nothing,nowhere.",Austin Brown,https://pitchfork.com/reviews/albums/nothingnowhere-ruiner/
7.6,April 18 2018,Dimensional People,Mouse on Mars,Mark Richardson,https://pitchfork.com/reviews/albums/mouse-on-mars-dimensional-people/
5.9,April 18 2018,A Girl Cried Red,Princess Nokia,Melissa Giannini,https://pitchfork.com/reviews/albums/princess-nokia-a-girl-cried-red/
6.9,April 21 2018,When I Think of You in a Castle,Post Animal,Larry Fitzmaurice,https://pitchfork.com/reviews/albums/post-animal-when-i-think-of-you-in-a-castle/
6.8,April 20 2018,Beautiful Thing,Alexis Taylor,Jesse Dorris,https://pitchfork.com/reviews/albums/alexis-taylor-beautiful-thing/
7.4,April 20 2018,Addendum,John Maus,Evan Rytlewski,https://pitchfork.com/reviews/albums/john-maus-addendum/
8.3,April 17 2018,Roxy - Tonight’s the Night Live,Neil Young,Erin Osmon,https://pitchfork.com/reviews/albums/neil-young-roxy-tonights-the-night-live/
7.1,April 18 2018,Aphelion EP,Ross From Friends,Ezra Marcus,https://pitchfork.com/reviews/albums/ross-from-friends-aphelion-ep/
7.0,April 14 2018,Johnny Cash: Forever Words,,Rebecca Bengal,https://pitchfork.com/reviews/albums/various-artists-johnny-cash-forever-words/
9.4,April 15 2018,The Marshall Mathers LP,Eminem,Jeremy D. Larson,https://pitchfork.com/reviews/albums/eminem-the-marshall-mathers-lp/
7.2,April 17 2018,The Underdog,GUM,Stuart Berman,https://pitchfork.com/reviews/albums/gum-the-underdog/
6.7,April 18 2018,Song for Alpha,Daniel Avery,Patric Fallon,https://pitchfork.com/reviews/albums/daniel-avery-song-for-alpha/
7.6,April 17 2018,Capture the Flag,War On Women,Jenn Pelly,https://pitchfork.com/reviews/albums/war-on-women-capture-the-flag/
7.5,April 17 2018,Let Night Come on Bells End the Day,Sarah Davachi,Chal Ravens,https://pitchfork.com/reviews/albums/sarah-davachi-let-night-come-on-bells-end-the-day/
7.3,April 16 2018,Fragmentos EP,Florentino ,Whitney  Wei,https://pitchfork.com/reviews/albums/florentino-fragmentos-ep/
7.4,April 16 2018,Cerebral Hemispheres,Mr. Fingers,Philip Sherburne,https://pitchfork.com/reviews/albums/mr-fingers-cerebral-hemispheres/
6.5,April 13 2018,Personne d’autre,Françoise Hardy,Jazz Monroe,https://pitchfork.com/reviews/albums/francoise-hardy-personne-dautre/
6.5,April 16 2018,The Other,King Tuff,Stuart Berman,https://pitchfork.com/reviews/albums/king-tuff-the-other/
6.7,April 14 2018,Connected and Respected,"E-40,B-Legit",Torii MacAdams,https://pitchfork.com/reviews/albums/e-40-b-legit-connected-and-respected/
5.8,April 16 2018,Challenge Me Foolish,µ-Ziq,Andy Beta,https://pitchfork.com/reviews/albums/-ziq-challenge-me-foolish/
7.6,April 13 2018,Tree of Forgiveness,John Prine,Kaleb Horton,https://pitchfork.com/reviews/albums/john-prine-tree-of-forgiveness/
7.5,April 14 2018,Songs for Midi EP,Kwes,Philip Sherburne,https://pitchfork.com/reviews/albums/kwes-songs-for-midi-ep/
5.3,April 13 2018,Pinned,A Place to Bury Strangers,Sasha Geffen,https://pitchfork.com/reviews/albums/a-place-to-bury-strangers-pinned/
7.5,April 12 2018,Private Stock,Cavalier,Paul A. Thompson,https://pitchfork.com/reviews/albums/cavalier-private-stock/
3.0,April 13 2018,The Deconstruction,Eels,Ian Cohen,https://pitchfork.com/reviews/albums/eels-the-deconstruction/
8.7,April 12 2018,CARE FOR ME,Saba,Sheldon Pearce,https://pitchfork.com/reviews/albums/saba-care-for-me/
6.4,April 13 2018,Universal Love: Wedding Songs Reimagined EP,,Abigail Covington,https://pitchfork.com/reviews/albums/various-artists-universal-love-wedding-songs-reimagined-ep/
7.2,April 14 2018,The Invisible Comes to Us,Anna & Elizabeth,Stephen M. Deusner,https://pitchfork.com/reviews/albums/anna-and-elizabeth-the-invisible-comes-to-us/
7.2,April 12 2018,H,Husalah,Jay Balfour,https://pitchfork.com/reviews/albums/husalah-h/
6.8,April 12 2018,Where We Were Together,Say Sue Me ,Steven Arroyo,https://pitchfork.com/reviews/albums/say-sue-me-where-we-were-together/
8.6,April 11 2018,Isolation,Kali Uchis,Julianne Escobedo Shepherd,https://pitchfork.com/reviews/albums/kali-uchis-isolation/
6.5,April 11 2018,Geography,Tom Misch,Jonah Bromwich,https://pitchfork.com/reviews/albums/tom-misch-geography/
8.7,April 10 2018,Invasion of Privacy,Cardi B,Sheldon Pearce,https://pitchfork.com/reviews/albums/cardi-b-invasion-of-privacy/
8.0,April 11 2018,Bellowing Sun,Mind Over Mirrors,Grayson Haver Currin,https://pitchfork.com/reviews/albums/mind-over-mirrors-bellowing-sun/
7.2,April 10 2018,Loud Patterns,Makeness,Stuart Berman,https://pitchfork.com/reviews/albums/makeness-loud-patterns/
6.7,April 10 2018,There’s Always More at the Store EP,Project Pablo,Andy Beta,https://pitchfork.com/reviews/albums/project-pablo-theres-always-more-at-the-store-ep/
7.1,April 10 2018,Vacation in Hell,Flatbush Zombies,Stephen Kearse,https://pitchfork.com/reviews/albums/flatbush-zombies-vacation-in-hell/
4.7,April 11 2018,Total Xanarchy,Lil Xan,Meaghan Garvey,https://pitchfork.com/reviews/albums/lil-xan-total-xanarchy/
7.0,April 9 2018,Sex & Food,Unknown Mortal Orchestra,Jazz Monroe,https://pitchfork.com/reviews/albums/unknown-mortal-orchestra-sex-and-food/
7.8,April 9 2018,Sextape,Glasser,Sasha Geffen,https://pitchfork.com/reviews/albums/glasser-sextape/
7.5,April 9 2018,Goat Girl,Goat Girl ,Eve Barlow,https://pitchfork.com/reviews/albums/goat-girl-goat-girl/
6.6,April 9 2018,The World Is Yours,Rich the Kid,Frankie Caracciolo,https://pitchfork.com/reviews/albums/rich-the-kid-the-world-is-yours/
8.0,April 6 2018,"Bark Your Head Off, Dog",Hop Along,Jayson Greene,https://pitchfork.com/reviews/albums/hop-along-bark-your-head-off-dog/
7.1,April 6 2018,Sister Cities,The Wonder Years,Luke O'Neil,https://pitchfork.com/reviews/albums/the-wonder-years-sister-cities/
5.5,April 7 2018,You Fucken Sucker,Paul de Jong,Daniel Martin-McCormick,https://pitchfork.com/reviews/albums/paul-de-jong-you-fucken-sucker/
7.7,April 7 2018,Hellbender,Zeke,Andy O'Connor,https://pitchfork.com/reviews/albums/zeke-hellbender/
6.3,April 7 2018,Pain & Pleasure EP,Tink,Claire Lobenfeld,https://pitchfork.com/reviews/albums/tink-pain-and-pleasure-ep/
7.4,April 6 2018,I Don’t Run,Hinds,Stuart Berman,https://pitchfork.com/reviews/albums/hinds-i-dont-run/
8.0,April 6 2018,"The Louder I Call, the Faster It Runs",Wye Oak,Brad Shoup,https://pitchfork.com/reviews/albums/wye-oak-the-louder-i-call-the-faster-it-runs/
8.2,April 8 2018,American Recordings,Johnny Cash,Kaleb Horton,https://pitchfork.com/reviews/albums/johnny-cash-american-recordings/
8.4,April 4 2018,Everything’s Fine,"Jean Grae,Quelle Chris",Sheldon Pearce,https://pitchfork.com/reviews/albums/jean-grae-quelle-chris-everythings-fine/
6.7,April 7 2018,Moosebumps: An Exploration Into Modern Day Horripilation,Dr. Octagon,Ben Cardew,https://pitchfork.com/reviews/albums/dr-octagon-moosebumps-an-exploration-into-modern-day-horripilation/
6.9,April 5 2018,Virtue,The Voidz,Stuart Berman,https://pitchfork.com/reviews/albums/the-voidz-virtue/
8.0,April 5 2018,Chris Carter’s Chemistry Lessons Volume One,Chris Carter,Jesse Dorris,https://pitchfork.com/reviews/albums/chris-carter-chris-carters-chemistry-lessons-volume-one/
8.7,April 2 2018,Golden Hour,Kacey Musgraves,Sam Sodomsky,https://pitchfork.com/reviews/albums/kacey-musgraves-golden-hour/
5.4,April 6 2018,Golden,Kylie Minogue,Ben Cardew,https://pitchfork.com/reviews/albums/kylie-minogue-golden/
7.0,April 4 2018,Daphne & Celeste Save The World,Daphne & Celeste,Cameron Cook,https://pitchfork.com/reviews/albums/daphne-and-celeste-daphne-and-celeste-save-the-world/
7.3,April 5 2018,Just Cause Y’all Waited,Lil Durk,Dean Van Nguyen,https://pitchfork.com/reviews/albums/lil-durk-just-cause-yall-waited/
6.5,April 3 2018,"My Dear Melancholy,",The Weeknd,Larry Fitzmaurice,https://pitchfork.com/reviews/albums/the-weeknd-my-dear-melancholy-ep/
7.7,April 3 2018,Warm Bodies,Warm Bodies,Evan Minsker,https://pitchfork.com/reviews/albums/warm-bodies-warm-bodies/
7.4,April 4 2018,NON Worldwide Compilation Trilogy Volume 2: Part 1,,Max Mertens,https://pitchfork.com/reviews/albums/various-artists-non-worldwide-compilation-trilogy-volume-2-part-1/
7.0,April 2 2018,The Calling EP,Sevdaliza,Katherine St. Asaph,https://pitchfork.com/reviews/albums/sevdaliza-the-calling-ep/
8.1,April 5 2018,Liberating Guilt and Fear,Empath,Judy Berman,https://pitchfork.com/reviews/albums/empath-liberating-guilt-and-fear/
8.6,March 30 2018,Freedom,Amen Dunes,Sam Sodomsky,https://pitchfork.com/reviews/albums/amen-dunes-freedom/
7.4,March 31 2018,The Messthetics,The Messthetics,Stuart Berman,https://pitchfork.com/reviews/albums/the-messthetics-the-messthetics/
7.6,March 31 2018,"Ceremony of Dreams: Studio Sessions & Outtakes, 1972-1977",Entourage,Grayson Haver Currin,https://pitchfork.com/reviews/albums/entourage-ceremony-of-dreams-studio-sessions-and-outtakes-1972-1977/
6.4,April 2 2018,Czarface Meets Metal Face,"Czarface,MF DOOM",Mehan Jayasuriya,https://pitchfork.com/reviews/albums/czarface-mf-doom-czarface-meets-metal-face/
